file name,Lobe_Furrow,ROI number,x-coordinate of ROI centre,y-coordinate of ROI centre,ROI surface area,Angle,anisotropy,coordinates of ROI vertices,,,,,,,,,,,,,,,,,,,,,,,
IND10_IN3_#3_max17-18.tif,Furrow,165,1674.13,813.15,34809,20.78,0.1154,1749,936,1740,864,1761,789,1749,678,1608,732,1563,870,1617,909,,,,,,,,,,
IND10_IN3_#3_max17-18.tif,Furrow,166,1891.42,900.04,25425,-80.69,0.1632,1902,1092,1863,942,1812,894,1815,807,1902,783,1971,873,,,,,,,,,,,,
IND10_IN3_#3_max17-18.tif,Furrow,167,2117.47,278.64,21501,-77.65,0.0865,2073,183,2046,351,2139,393,2187,255,2190,195,,,,,,,,,,,,,,
IND17_IN3_#2_max14-40.tif,Furrow,124,2222.17,1043.07,47216,87.38,0.1725,2174,1244,2138,1148,2178,876,2290,836,2290,1108,2282,1188,,,,,,,,,,,,
IND17_IN3_#2_max14-40.tif,Furrow,125,2380.68,1595.52,50698,76.08,0.0552,2346,1356,2434,1396,2454,1804,2306,1756,2306,1584,2350,1376,,,,,,,,,,,,
IND17_IN3_#2_max14-40.tif,Furrow,126,2406.71,1168.21,48812,-88.5,0.233,2342,1304,2470,1332,2518,1048,2402,1048,2310,1008,2318,1216,,,,,,,,,,,,
IND17_IN3_#2_max14-40.tif,Furrow,127,1984.31,2038.35,34142,35.81,0.2249,2026,2156,2038,2048,2102,1988,2102,1924,1990,1956,1958,1936,1890,1944,1914,2100,1918,2180,,,,,,
IND17_IN3_#2_max14-40.tif,Furrow,128,1148.37,1386.57,51120,59.78,0.234,1206,1516,1286,1272,1134,1240,1034,1376,1026,1516,,,,,,,,,,,,,,
IND17_IN3_#2_max14-40.tif,Furrow,129,1250.43,1040.89,50752,53.42,0.2191,1274,1196,1138,1192,1138,1036,1182,952,1362,880,1390,948,1370,1020,1282,1108,,,,,,,,
IND17_IN3_#2_max14-40.tif,Furrow,130,975.05,2035.78,49722,-77.03,0.3119,958,2256,1030,2152,1070,1976,1030,1836,894,1932,890,2128,,,,,,,,,,,,
IND17_IN3_#2_max14-40.tif,Furrow,131,2227.84,1390.15,29312,74.6,0.1267,2262,1512,2310,1328,2278,1260,2158,1308,2166,1516,,,,,,,,,,,,,,
IND17_IN3_#2_max14-40.tif,Furrow,132,1105.49,882.67,30928,-13.66,0.1802,1094,1017,1150,869,1218,833,1242,709,1034,861,978,1005,,,,,,,,,,,,
IND17_IN3_#2_max14-40.tif,Furrow,133,917.65,1571.51,39788,68.33,0.2046,886,1733,966,1673,998,1549,998,1397,934,1393,798,1677,,,,,,,,,,,,
IND17_IN3_#3_max51-55.tif,Furrow,135,1016.98,1337.29,55064,5.82,0.0804,912,1456,1152,1432,1160,1360,1104,1220,1000,1212,904,1244,876,1396,932,1460,,,,,,,,
IND17_IN3_#3_max51-55.tif,Furrow,136,928.74,2012.69,54762,72.09,0.22,784,2012,972,1840,1020,1856,1020,1976,1084,2060,1064,2100,848,2132,780,2112,,,,,,,,
IND17_IN3_#3_max51-55.tif,Furrow,137,642.67,2058.69,51472,44.28,0.2034,716,2268,748,2168,704,2048,752,1984,708,1920,540,1920,540,2012,500,2048,,,,,,,,
IND17_IN3_#3_max51-55.tif,Furrow,138,939.35,2275.82,58954,-42.53,0.095,988,2448,1088,2188,1080,2140,792,2192,780,2276,944,2448,,,,,,,,,,,,
IND17_IN3_#3_max51-55.tif,Furrow,139,284.09,1643.83,35328,78.99,0.2115,332,1864,336,1460,248,1480,208,1716,,,,,,,,,,,,,,,,
IND17_IN3_#3_max51-55.tif,Furrow,140,524.36,1269.03,36380,-64.68,0.0727,500,1448,616,1280,612,1152,448,1160,444,1340,496,1424,,,,,,,,,,,,
IND17_IN3_#3_max51-55.tif,Furrow,141,740.65,1225.79,56446,-67,0.0709,744,1408,832,1392,840,1212,772,1048,640,1064,656,1320,,,,,,,,,,,,
IND17_IN3_#3_max51-55.tif,Furrow,142,544.38,1755.21,19696,62.37,0.1515,608,1860,580,1772,604,1692,584,1656,500,1656,484,1772,516,1856,,,,,,,,,,
IND17_IN3_#3_max51-55.tif,Furrow,143,884.4,985.45,53450,77.33,0.0317,830,1131,782,807,908,793,988,1081,984,1151,900,1173,,,,,,,,,,,,
IND17_IN3_#3_max51-55.tif,Furrow,144,1121.98,2449.07,59614,54.4,0.0095,1206,2626,1076,2626,1014,2542,1018,2446,1126,2212,1178,2212,1216,2614,1206,2636,,,,,,,,
IND17_IN3_#4_max18-30.tif,Furrow,146,1214.58,1385.53,43402,-8.16,0.1809,1208,1512,1364,1460,1290,1356,1292,1292,1262,1252,1084,1320,1084,1394,,,,,,,,,,
IND17_IN3_#4_max18-30.tif,Furrow,147,1382.97,1147,31828,-55.66,0.219,1298,1253,1504,1209,1508,1135,1438,1109,1332,1017,1294,1019,1302,1125,1306,1179,,,,,,,,
IND17_IN3_#4_max18-30.tif,Furrow,148,1649.23,1077.82,40239,81.44,0.1334,1552,1117,1560,1189,1718,1213,1744,1019,1646,923,1584,939,1580,1085,,,,,,,,,,
IND17_IN3_#4_max18-30.tif,Furrow,149,1600.96,1316.34,19673,47.89,0.1521,1532,1389,1546,1317,1542,1229,1694,1257,1642,1377,1564,1419,,,,,,,,,,,,
