file name,Lobe_Furrow,ROI number,x-coordinate of ROI centre,y-coordinate of ROI centre,ROI surface area,Angle,anisotropy,coordinates of ROI vertices,,,,,,,,,,,,,,,,,,,,,
IND9_IN1_#6_max0-10.tif,Furrow,248,1162.28,2106.56,22431,-86.94,0.0441,1080,2178,1101,2037,1224,2013,1242,2133,1188,2196,,,,,,,,,,,,
IND9_IN1_#6_max0-10.tif,Furrow,249,1560.37,815.92,33768,-72.41,0.0897,1581,963,1494,960,1491,744,1554,681,1617,684,1653,729,,,,,,,,,,
IND9_IN1_#6_max0-10.tif,Furrow,250,741.79,1864.42,14724,-65.45,0.1647,786,1956,816,1884,693,1740,690,1908,,,,,,,,,,,,,,
IND9_IN1_#6_max0-10.tif,Furrow,251,1740.62,827.28,68463,-57.38,0.0283,1767,1128,1647,1080,1653,975,1701,657,1758,513,1845,579,1791,846,,,,,,,,
IND9_IN1_#6_max0-10.tif,Furrow,252,1352.68,480.04,22596,65.72,0.0887,1371,612,1398,606,1413,372,1293,396,1278,498,,,,,,,,,,,,
IND10_IN1_#5_max22-35.tif,Furrow,41,1513.35,1638.56,94764,60.9,0.1022,1398,1749,1473,1881,1599,1878,1629,1749,1632,1512,1569,1428,1446,1434,1392,1392,1353,1431,1437,1623,,
IND10_IN1_#5_max22-35.tif,Furrow,42,1787.24,1632.39,40878,-42.23,0.1423,1689,1698,1704,1551,1866,1464,1866,1605,1839,1800,1746,1752,,,,,,,,,,
IND10_IN1_#5_max22-35.tif,Furrow,43,1808.78,871.46,87057,86.95,0.1029,1677,948,1773,1056,1905,1068,1977,891,1884,777,1818,636,1680,714,,,,,,,,
IND10_IN1_#5_max22-35.tif,Furrow,44,1678.05,438.63,72063,-3.59,0.0905,1650,672,1818,570,1821,495,1716,414,1731,204,1674,165,1575,318,1575,492,,,,,,
IND10_IN1_#5_max22-35.tif,Furrow,45,1793.05,1308.32,53088,-16.54,0.1152,1617,1398,1674,1485,1872,1416,1908,1236,1902,1137,1737,1119,1722,1173,1809,1218,1782,1308,1701,1368,1623,1371
IND10_IN1_#5_max22-35.tif,Furrow,46,2081.58,1044.68,59283,-34.12,0.1242,1974,1206,1950,1089,2034,969,2019,897,2124,846,2184,930,2178,1173,,,,,,,,
IND10_IN1_#5_max22-35.tif,Furrow,47,2031.12,610.48,30186,8.4,0.0523,2022,840,2088,783,2049,690,2091,486,2025,405,1971,405,2004,582,2019,687,1971,801,,,,
IND10_IN1_#5_max22-35.tif,Furrow,48,1866.64,297.64,28920,-29.99,0.0509,1848,468,1965,348,1962,270,1911,207,1761,228,1755,342,1845,333,1890,381,,,,,,
IND10_IN1_#5_max22-35.tif,Furrow,49,240.27,1884.58,52272,33.84,0.0568,120,1995,315,2031,360,1782,186,1722,105,2013,,,,,,,,,,,,
IND10_IN1_#5_max22-35.tif,Furrow,50,2050.64,1347.29,45606,68.98,0.0832,1932,1497,1908,1407,1977,1257,2157,1236,2184,1254,2184,1416,2073,1401,,,,,,,,
IND10_IN1_#7_max0-23.tif,Furrow,57,1992.93,897.29,51295,63.35,0.1004,2017,1086,2083,911,2091,726,1941,755,1913,892,1871,936,1885,1002,,,,,,,,
IND10_IN1_#7_max0-23.tif,Furrow,58,2165.26,1070.53,49018,-71.52,0.0686,2041,1115,2138,878,2173,866,2282,1152,2266,1212,2153,1212,,,,,,,,,,
IND10_IN1_#7_max0-23.tif,Furrow,59,1660.8,781.62,22367,86.85,0.1511,1661,906,1609,876,1621,768,1599,670,1693,654,1711,774,1709,906,,,,,,,,
IND10_IN1_#7_max0-23.tif,Furrow,60,1647.75,459.38,56322,31,0.0475,1589,620,1699,608,1777,462,1765,338,1639,346,1531,334,1507,414,1583,562,,,,,,
IND9_IN1_#1_max0-8.tif,Lobe  ,228,1471.77,615.65,30387,63.23,0.0761,1341,672,1347,675,1542,705,1578,597,1554,531,1500,516,1383,573,,,,,,,,
IND9_IN1_#1_max0-8.tif,Lobe  ,229,1461.45,839.01,34536,78.91,0.0888,1428,987,1506,1002,1551,747,1359,708,1377,792,1434,948,,,,,,,,,,
IND9_IN1_#1_max0-8.tif,Lobe  ,230,2002.36,629.51,48903,-89.71,0.1532,1944,945,2031,867,2064,558,2043,372,1977,333,1947,447,1980,570,1962,744,1935,873,,,,
IND9_IN1_#1_max0-8.tif,Lobe  ,231,1519,1246.73,53940,-86.93,0.1305,1581,1488,1608,1182,1512,1053,1437,1047,1419,1218,1491,1365,1542,1500,,,,,,,,
IND9_IN1_#1_max0-8.tif,Lobe  ,232,1715.21,1336.98,48342,61.95,0.1538,1710,1542,1788,1488,1791,1443,1764,1140,1725,1116,1644,1221,1641,1452,,,,,,,,
IND9_IN1_#1_max0-8.tif,Lobe  ,233,1846.57,1146.99,60276,-77.47,0.1827,1749,1056,1788,885,1869,897,1905,1011,1914,1236,1899,1431,1851,1458,1821,1425,1803,1134,,,,
IND9_IN1_#1_max0-8.tif,Lobe  ,234,2027.29,1121.94,39564,-70.11,0.1522,1965,1278,2088,1269,2103,1128,2061,936,1959,996,,,,,,,,,,,,
IND9_IN1_#1_max0-8.tif,Lobe  ,235,2003.81,1482.3,47124,39.01,0.1425,1959,1677,2052,1647,2055,1545,2100,1452,2082,1323,1941,1338,1914,1473,,,,,,,,
IND9_IN1_#1_max0-8.tif,Lobe  ,236,2010.5,1902.93,46641,60.32,0.1118,2034,2094,1923,2040,1938,1878,1977,1728,2070,1710,2091,1947,,,,,,,,,,
IND9_IN1_#1_max0-8.tif,Lobe  ,237,1702.88,455.6,26079,-53.86,0.0799,1620,489,1647,567,1728,555,1797,423,1749,354,1668,351,,,,,,,,,,
IND9_IN1_#3_max75-83.tif,Lobe  ,238,1527.84,923.46,47900,-88.83,0.319,1483,1118,1484,1118,1572,1134,1600,1011,1567,707,1525,698,1476,734,1459,978,,,,,,
IND9_IN1_#3_max75-83.tif,Lobe  ,239,1685.57,745.74,53064,15.57,0.1995,1653,970,1739,952,1771,823,1747,594,1624,544,1599,551,1583,659,1641,751,1639,908,,,,
IND9_IN1_#3_max75-83.tif,Lobe  ,240,1354.05,826.98,46185,57.93,0.2654,1352,1031,1409,982,1437,724,1357,628,1277,718,1284,935,1353,1039,,,,,,,,
IND9_IN1_#3_max75-83.tif,Lobe  ,241,1980.42,173.31,19968,53.05,0.025,1948,307,2027,235,2034,60,1963,55,1918,235,,,,,,,,,,,,
IND9_IN1_#3_max75-83.tif,Lobe  ,242,2036.86,451.65,46778,-5.6,0.1994,1990,621,1938,396,1979,328,2055,269,2114,315,2106,449,2110,548,2130,545,2100,609,,,,
IND9_IN1_#6_max0-10.tif,Lobe  ,243,1202.02,1303.05,59406,-83.85,0.1252,1170,1518,1170,1515,1260,1479,1302,1179,1236,1092,1140,1149,1101,1332,1152,1515,1158,1500,,,,
IND9_IN1_#3_max75-83.tif,Lobe  ,253,1604.56,1792.8,25329,-61.63,0.142,1641,1944,1638,1941,1566,1902,1542,1641,1575,1641,1677,1773,,,,,,,,,,
IND9_IN1_#3_max75-83.tif,Lobe  ,254,1684.62,1233.89,43848,61.62,0.0853,1614,1416,1713,1452,1743,1293,1740,1020,1656,1026,1623,1200,1632,1293,,,,,,,,
IND9_IN1_#3_max75-83.tif,Lobe  ,255,2042.27,2183.09,13218,-83.92,0.1353,1983,2259,1980,2205,2052,2088,2091,2097,2085,2244,,,,,,,,,,,,
IND9_IN1_#3_max75-83.tif,Lobe  ,256,1879.82,2152.28,19770,-32.92,0.1827,1827,2277,1944,2262,1920,2196,1893,1950,1833,2112,1845,2205,,,,,,,,,,
IND9_IN1_#3_max75-83.tif,Lobe  ,257,1455.49,239.37,32589,-21.58,0.1146,1368,342,1467,306,1539,336,1563,231,1536,147,1383,159,1347,216,,,,,,,,
IND10_IN1_#6_max34-42.tif,Lobe  ,31,285.93,1284.32,83115,61.07,0.2545,114,1521,123,1515,282,1470,351,1413,453,1128,378,1065,228,1122,,,,,,,,
IND10_IN1_#6_max34-42.tif,Lobe  ,32,1604.46,457.59,83769,-44.18,0.153,1560,732,1620,738,1671,714,1710,252,1650,231,1545,216,1476,459,1542,555,,,,,,
IND10_IN1_#6_max34-42.tif,Lobe  ,33,1418.53,753.17,68331,86.24,0.0693,1326,984,1455,978,1518,762,1488,549,1455,522,1341,552,1344,858,,,,,,,,
IND10_IN1_#6_max34-42.tif,Lobe  ,34,1336.59,308.81,90528,-13.3,0.068,1206,510,1272,522,1413,459,1506,174,1470,108,1245,156,1191,357,,,,,,,,
IND10_IN1_#6_max34-42.tif,Lobe  ,35,1604.43,1021.94,83445,-58.21,0.1936,1569,1329,1641,1326,1677,1074,1713,924,1695,774,1542,795,1491,1011,1545,1200,,,,,,
IND10_IN1_#6_max34-42.tif,Lobe  ,36,540.21,1430.85,43731,-73.63,0.1057,546,1572,648,1527,654,1368,435,1299,414,1422,,,,,,,,,,,,
IND10_IN1_#6_max34-42.tif,Lobe  ,37,1570.17,1554.28,36870,58.8,0.2037,1590,1731,1647,1575,1635,1416,1509,1422,1491,1590,1539,1701,,,,,,,,,,
IND10_IN1_#6_max34-42.tif,Lobe  ,38,587.46,1215.7,27696,2.7,0.1,471,1245,669,1323,681,1176,564,1107,471,1215,,,,,,,,,,,,
IND10_IN1_#6_max34-42.tif,Lobe  ,39,575.29,695.59,101772,13.52,0.0617,423,984,537,585,501,381,669,390,690,762,549,1011,,,,,,,,,,
IND10_IN1_#6_max34-42.tif,Lobe  ,40,1481.94,1892.52,39237,58.69,0.1221,1398,2025,1566,1962,1605,1803,1428,1776,1371,1938,,,,,,,,,,,,
IND10_IN1_#2_max49-59.tif,Lobe  ,51,257.19,520.13,65838,27.53,0.1633,162,720,297,738,357,423,327,249,195,393,156,573,,,,,,,,,,
IND10_IN1_#2_max49-59.tif,Lobe  ,52,464.07,704.42,68985,3.62,0.1487,369,900,534,885,567,717,537,486,432,489,354,735,,,,,,,,,,
IND10_IN1_#2_max49-59.tif,Lobe  ,53,1549.48,1075.19,83517,4.92,0.2633,1434,1386,1485,1107,1482,969,1515,795,1647,780,1632,1053,1647,1146,1497,1410,,,,,,
IND10_IN1_#2_max49-59.tif,Lobe  ,54,1619.6,486.63,71865,71.47,0.2492,1512,744,1662,720,1710,429,1692,219,1578,234,1545,537,,,,,,,,,,
IND10_IN1_#2_max49-59.tif,Lobe  ,55,1759.38,809.1,59871,-61.88,0.0963,1701,954,1704,762,1758,489,1851,537,1740,1221,1692,1095,,,,,,,,,,
IND10_IN1_#2_max49-59.tif,Lobe  ,56,1637.3,91.73,18570,-86.94,0.0968,1575,27,1572,180,1695,150,1713,15,,,,,,,,,,,,,,
